,,,,,,,,,
,,AMBIENTE,BASE URL SERVICIOS REST,,BASE URL WEB SOCKETS,,,,
,,DEV,https://ovysjs5mlh.execute-api.us-east-2.amazonaws.com/securityManagement,,wss://gi4fi6h2na.execute-api.us-east-2.amazonaws.com/test,wss://9dayufg7fd.execute-api.us-east-2.amazonaws.com/dev,,,
,,STG,https://f0kgxoe2k4.execute-api.us-east-2.amazonaws.com/securityManagement,,wss://s0t5mc4x8d.execute-api.us-east-2.amazonaws.com/stg,wss://dvd9ri2e01.execute-api.us-east-2.amazonaws.com/stg,,,
,,PRO,https://pq7mauhive.execute-api.us-east-2.amazonaws.com/securityManagement,,wss://5r2hsoh2ge.execute-api.us-east-2.amazonaws.com/pro,wss://p5xbmat9tg.execute-api.us-east-2.amazonaws.com/pro,,,
,,,,,,,,,
,COMPONENTE (bavv-pasivo-),LAMBDA,NOMBRE LAMBDA,INTEGRACIÓN,TERCEROS,ENDPOINT DEL SERVICIO EXPUESTO,ENDPOINT DEL SERVICIO A CONSUMIR,MOCK,DEPENDENCIAS
,validate-recaptcha,Java8,rb-pasivo-[stack]-validate-recaptcha,REST,"Consume la api de Google recaptchaV3, para validar si el usuario que consume el servicio es un robot.",POST: /recaptchaV3,https://www.google.com/recaptcha/api/,,
2,read-customer-accounts,Java8,rb-pasivo-[stack]-read-customer-accounts,REST,"Consume el servicio consultarCuentasCliente del Datapower del banco, que retorna las cuentas que tiene el usuario. Con esta información retorna si el usuario tiene creada una cuenta de tipo CAT en el banco.",POST: /customer-accounts,"STG: https://192.168.135.28:442/PFBA_AhorrosyCtaCte20/sca/WSBA_AhorrosyCtaCte_consultarCuentasClienteV02
PRO: https://aliaslambda.avvillaspasivo.net:442/PFBA_AhorrosyCtaCte20/sca/WSBA_AhorrosyCtaCte_consultarCuentasClienteV02",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/wn0iz3/CustomerProductAdminSvcPort,
1,read-customer-conditions,Java8,rb-pasivo-[stack]-read-customer-conditions,REST,"Consume el servicio consultarCondicionesCliente del DataPower del banco, para saber si el usuario es cliente, si esta actualizado, y si está en listas restrictivas.",POST: /bavv-identification/customer-conditions,"STG https://192.168.135.28:442/PFBA_Crm31/sca/WSBA_Crm_consultarCondicionesCliente
PRO https://aliaslambda.avvillaspasivo.net:442/PFBA_Crm31/sca/WSBA_Crm_consultarCondicionesCliente",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/7cGqrI/CustomerConditionsInquirySvcPort,
,user-identity,Node14,rb-pasivo-[stack]-user-identity,REST,"Esta lambda realiza la autenticación del usuario. Cuando NO recibe la OTP como parte del request, consume el servicio User_Identity/create de la célula habilitadora, con el cual valida si el usuario ingresó datos válidos en el formulario de identificación. Si estos superan con éxito el flujo definido, se solicita al banco que envíe una OTP al celular ingresado.
Cuando en el request de esta lambda se recibe la OTP, se consume el servicio User_Identity/validate de la célula habilitadora, con lo cual se valida que la OTP corresponda a la enviada previamente. Si la respuesta de la habilitadora es exitosa se genera un token, que se almacena asociado a la transacción y la cédula del usuario en la tabla rb-pasivo-transaction-data. Dicho token es retornado como parte de la respuesta del servicio y es requerido para autorizar el consumo de los siguientes servicios del flujo, de forma segura.",POST: /bavv-identification/user-identity,"STG https://adl-habilitadora-stg-api.avaldigitallabs.com/securityManagement/v1/User_Identity/
PRO https://digital-api.avaldigitallabs.com/securityManagement/v1/User_Identity",http://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/rest/project/a3ymXG/application/R99bqa/validate/,
,authorization-token,Node14,rb-pasivo-[stack]-authorization-token,Authorizer API-Gateway,"Esta lambda es llamada por el api-gateway cuando recibe una petición hacia algún servicio seguro que requiere autorización para ser consumido. En ella se valida que el token recibido en la solicitud, corresponda a la transacción y celular con los que fue creado. Si los datos son válidos se autoriza el consumo del servicio que se esté invocando, en caso contrario se retorna un error 401 de no autorizado.",*ES TRANSVERSAL,No Aplica,No Aplica,
2,read-customer-data,Java8,rb-pasivo-[stack]-read-customer-data,WSS. Ruta: crm-rp-cc,"Consume el servicio ConsultarDatosCliente del DataPower del banco, el cual retorna la información que el usuario tiene en CRM. La información obtenida se inserta en la tabla rb-pasivo-crm-customer-data y se retorna como parte de la respuesta.",WSS RUTA: crm-rp-cc,"STG https://192.168.135.28:442/PFBA_Crm32/sca/WSBA_Crm_consultarDatosClienteV03
PRO https://aliaslambda.avvillaspasivo.net:442/PFBA_Crm32/sca/WSBA_Crm_consultarDatosClienteV03",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/szT8NH/CustomerDataInqSvcPort,
2,create-product,Java8,rb-pasivo-[stack]-create-passive-product,"WSS RUTA: 
Llamado 1: crm-rp-cc-cdt 
Llamado 2: cpp2-ci-es

REST: Llamado 1.5","Consume el servicio RadicarSolicitudPasivo del DataPower del banco. Cuando lo hace por primera vez, el banco crea una solicitud de creación de cuenta, la segunda vez que se consume se envía el id de la solicitud previamente generada, para que con base en ella el banco cree la cuenta de ahorros.","WSS RUTA: crm-rp-cc(primer llamado) y cpp2-ci-es(segundo llamado)

POST: /create-passive-product","STG https://192.168.135.28:442/PFBA_Multiaplicacion15/sca/WSBA_Multiaplicacion_radicarSolicitudPasivo
PRO https://aliaslambda.avvillaspasivo.net:442/PFBA_Multiaplicacion15/sca/WSBA_Multiaplicacion_radicarSolicitudPasivo",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/WHtzrB/WSBA_Multiaplicacion_radicarSolicitudPasivo_ApplicationAdminSvcHttpPort,
,save-summary-transaction,Node14,rb-pasivo-[stack]-save-summary-transaction,WSS. Ruta: crm-rp-cc,Almacena el resumen de la transacción en la tabla rb-pasivo-summary-transaction-data.,WSS RUTA: crm-rp-cc,No Aplica,No Aplica,
